uq_problem_idx,num_steps,judge_probability,solved,generated_tokens
algebra_11,10,0.6104184985160828,0,12
algebra_11,11,0.3396919965744018,0,12
algebra_12,1,0.9916994571685792,1,18
algebra_12,2,0.9916014075279236,1,16
algebra_12,3,0.9833259582519532,1,6
algebra_12,4,0.9765056371688844,1,6
algebra_12,5,0.9872602224349976,1,10
algebra_12,6,0.9914848208427428,1,9
algebra_13,1,0.9958718419075012,1,12
algebra_13,2,0.9746236205101012,1,14
algebra_13,3,0.9596075415611268,1,9
algebra_13,4,0.9836853742599488,1,9
algebra_13,5,0.9811018109321594,1,7
algebra_13,6,0.9758418798446656,1,10
algebra_14,1,0.8519749045372009,1,12
algebra_14,2,0.7362743616104126,1,12
algebra_14,3,0.7506181597709656,1,14
algebra_14,4,0.7178961634635925,1,6
algebra_15,1,0.970945417881012,0,20
algebra_15,2,0.9501441717147828,0,8
algebra_15,3,0.9348939657211304,0,5
algebra_15,4,0.897271454334259,0,3
algebra_15,5,0.8735413551330566,0,5
algebra_15,6,0.6980457305908203,0,14
algebra_15,7,0.5961057543754578,0,5
algebra_15,8,0.2878401577472687,0,13
algebra_16,1,0.9656403064727784,1,10
algebra_16,2,0.969186782836914,1,10
algebra_16,3,0.9697392582893372,1,16
algebra_16,4,0.955503523349762,1,11
algebra_16,5,0.9646185040473938,1,8
algebra_16,6,0.9824151396751404,1,6
algebra_17,1,0.9030468463897704,1,8
algebra_17,2,0.914769172668457,1,10
algebra_17,3,0.8612861037254333,1,6
algebra_17,4,0.728168785572052,1,6
algebra_17,5,0.5782760977745056,1,17
algebra_17,6,0.4668275713920593,1,11
algebra_17,7,0.3236493468284607,1,15
algebra_17,8,0.3564444780349731,1,10
algebra_17,9,0.3334087133407593,1,8
algebra_18,1,0.9639471173286438,1,19
algebra_18,2,0.8916316628456116,1,11
algebra_18,3,0.9539840817451476,1,11
algebra_18,4,0.8763337135314941,1,9
algebra_18,5,0.7894832491874695,1,5
algebra_18,6,0.7005380392074585,1,12
algebra_18,7,0.5695342421531677,1,12
algebra_19,1,0.8965042233467102,1,12
algebra_19,2,0.5782444477081299,1,14
algebra_19,3,0.7003443241119385,1,13
algebra_19,4,0.7397210597991943,1,10
algebra_20,1,0.948149025440216,0,17
algebra_20,2,0.9123330116271972,0,19
algebra_20,3,0.5994347929954529,0,19
algebra_20,4,0.6021374464035034,0,8
algebra_20,5,0.5441797971725464,0,10
algebra_20,6,0.5113524794578552,0,7
algebra_20,7,0.4225716590881347,0,8
algebra_21,1,0.9595471620559692,0,9
algebra_21,2,0.7227731943130493,0,15
algebra_21,3,0.7854050397872925,0,9
algebra_21,4,0.7536610960960388,0,16
algebra_21,5,0.723943829536438,0,17
algebra_22,1,0.9701119065284728,1,13
algebra_22,2,0.8751795887947083,1,8
algebra_22,3,0.870273768901825,1,9
algebra_22,4,0.8366979360580444,1,12
algebra_22,5,0.7579686641693115,1,9
algebra_22,6,0.8038504719734192,1,12
algebra_23,1,0.9761539101600648,1,17
algebra_23,2,0.9524391889572144,1,5
algebra_23,3,0.9363226294517516,1,14
algebra_23,4,0.960174560546875,1,15
algebra_23,5,0.8122456073760986,1,11
algebra_24,1,0.9959100484848022,0,19
algebra_24,2,0.998551070690155,0,9
algebra_24,3,0.9981396198272704,0,6
algebra_24,4,0.9472773671150208,0,13
algebra_24,5,0.9094665050506592,0,6
algebra_25,1,0.9881667494773864,0,12
algebra_25,2,0.9541515111923218,0,11
algebra_25,3,0.9497091174125672,0,16
algebra_25,4,0.912361979484558,0,17
algebra_25,5,0.897485077381134,0,12
algebra_26,1,0.636290431022644,0,18
algebra_26,2,0.4754407107830047,0,13
algebra_26,3,0.5086919069290161,0,14
algebra_26,4,0.5233675241470337,0,13
algebra_26,5,0.6019930243492126,0,6
algebra_26,6,0.4518201351165771,0,13
algebra_26,7,0.4325431883335113,0,14
algebra_26,8,0.2949561774730682,0,7
algebra_26,9,0.2889153659343719,0,17
algebra_26,10,0.2342382967472076,0,20
algebra_27,1,0.888955295085907,0,15
algebra_27,2,0.7641444206237793,0,16
algebra_27,3,0.6640686392784119,0,10
algebra_27,4,0.6474552154541016,0,12
algebra_27,5,0.6140839457511902,0,10
algebra_27,6,0.6329765915870667,0,10
algebra_27,7,0.6126971244812012,0,19
algebra_27,8,0.6349064111709595,0,4
algebra_27,9,0.5673744082450867,0,8
algebra_28,1,0.9540318250656128,1,21
algebra_28,2,0.9538719058036804,1,22
algebra_28,3,0.8895200490951538,1,18
algebra_28,4,0.7724689245223999,1,11
algebra_28,5,0.675574004650116,1,19
algebra_28,6,0.6593451499938965,1,12
algebra_28,7,0.5318728685379028,1,20
algebra_29,1,0.8980377912521362,1,18
algebra_29,2,0.8179590106010437,1,15
algebra_29,3,0.812960684299469,1,7
algebra_29,4,0.7667036652565002,1,6
algebra_29,5,0.7381886839866638,1,6
algebra_29,6,0.5175189971923828,1,6
algebra_29,7,0.4314494431018829,1,6
algebra_29,8,0.3224497437477112,1,8
algebra_30,1,0.6968773603439331,1,17
algebra_30,2,0.3629612922668457,1,9
algebra_30,3,0.4560127556324005,1,9
algebra_30,4,0.4350223541259765,1,12
algebra_30,5,0.2701754570007324,1,9
algebra_30,6,0.2645527720451355,1,5
algebra_30,7,0.2180560380220413,1,8
algebra_30,8,0.1696491688489914,1,14
algebra_31,1,0.9595977663993835,1,18
algebra_31,2,0.950738251209259,1,8
algebra_31,3,0.9150479435920716,1,8
algebra_31,4,0.883806049823761,1,8
algebra_31,5,0.8932979106903076,1,6
algebra_31,6,0.7970272302627563,1,11
algebra_32,1,0.9281394481658936,0,9
algebra_32,2,0.929783582687378,0,9
algebra_32,3,0.9370116591453552,0,6
algebra_32,4,0.9148821830749512,0,5
algebra_32,5,0.9169055819511414,0,4
algebra_32,6,0.8893930912017822,0,3
algebra_32,7,0.8810473680496216,0,9
algebra_32,8,0.8873248100280762,0,7
algebra_32,9,0.9472761750221252,0,6
algebra_32,10,0.9647653698921204,0,5
algebra_32,11,0.983182430267334,0,4
algebra_32,12,0.9694845080375672,0,3
algebra_32,13,0.8756524920463562,0,14
algebra_32,14,0.5429442524909973,0,9
algebra_32,15,0.3838411271572113,0,13
algebra_33,1,0.7751121520996094,1,15
algebra_33,2,0.6145819425582886,1,11
algebra_33,3,0.532450795173645,1,13
algebra_33,4,0.6813280582427979,1,11
algebra_33,5,0.6739159822463989,1,7
algebra_33,6,0.6615894436836243,1,7
algebra_33,7,0.7245468497276306,1,5
algebra_33,8,0.7400400638580322,1,5
algebra_33,9,0.6529873013496399,1,15
algebra_33,10,0.7264566421508789,1,7
algebra_33,11,0.7619134187698364,1,9
algebra_33,12,0.7586786150932312,1,16
algebra_33,13,0.7732013463973999,1,7
algebra_33,14,0.8402582406997681,1,7
algebra_33,15,0.5311039090156555,1,9
algebra_33,16,0.4912018179893493,1,15
algebra_34,1,0.7560069561004639,0,22
algebra_34,2,0.7454012632369995,0,10
algebra_34,3,0.6963440179824829,0,10
algebra_34,4,0.6507030725479126,0,12
algebra_34,5,0.5839125514030457,0,6
algebra_34,6,0.486567884683609,0,3
algebra_34,7,0.3621731102466583,0,3
algebra_35,1,0.8808369040489197,1,11
algebra_35,2,0.9246728420257568,1,11
algebra_35,3,0.960357666015625,1,8
algebra_35,4,0.9615176916122437,1,7
algebra_35,5,0.9773362278938292,1,11
algebra_35,6,0.9516684412956238,1,9
algebra_35,7,0.97978013753891,1,12
algebra_36,1,0.7127439975738525,0,19
algebra_36,2,0.4353322088718414,0,11
algebra_36,3,0.3164270222187042,0,11
algebra_36,4,0.4948107600212097,0,10
algebra_36,5,0.3759583532810211,0,10
algebra_36,6,0.2928630411624908,0,7
algebra_36,7,0.2394875735044479,0,10
algebra_36,8,0.1834767311811447,0,9
algebra_37,1,0.768140971660614,1,6
algebra_37,2,0.5596323013305664,1,11
algebra_37,3,0.5739409923553467,1,7
algebra_37,4,0.5591809749603271,1,13
algebra_37,5,0.6207396984100342,1,6
algebra_37,6,0.6043277978897095,1,5
algebra_37,7,0.6608079671859741,1,8
algebra_37,8,0.7384639382362366,1,9
algebra_37,9,0.8104944825172424,1,11
algebra_37,10,0.8343923687934875,1,11
algebra_37,11,0.8343090415000916,1,15
algebra_38,1,0.8501459956169128,1,15
algebra_38,2,0.8276187777519226,1,5
algebra_38,3,0.8938388824462891,1,11
algebra_38,4,0.8977753520011902,1,5
algebra_38,5,0.5304160714149475,1,5
algebra_38,6,0.5805062651634216,1,5
algebra_38,7,0.7429684400558472,1,17
algebra_38,8,0.6312046051025391,1,16
algebra_38,9,0.4795755445957184,1,10
algebra_39,1,0.6624251008033752,1,16
algebra_39,2,0.4634461402893066,1,11
algebra_39,3,0.5260307788848877,1,11
algebra_39,4,0.4927769303321838,1,11
algebra_39,5,0.5463826656341553,1,11
algebra_39,6,0.5573827624320984,1,11
algebra_39,7,0.6830376386642456,1,11
algebra_39,8,0.6577226519584656,1,11
algebra_39,9,0.6428666114807129,1,11
algebra_39,10,0.5601741671562195,1,5
algebra_39,11,0.5196046233177185,1,3
algebra_40,1,0.939141809940338,0,22
algebra_40,2,0.8775434494018555,0,10
algebra_40,3,0.8952641487121582,0,15
algebra_40,4,0.9290181994438172,0,11
algebra_40,5,0.7330850958824158,0,8
algebra_40,6,0.8302285671234131,0,7
algebra_40,7,0.6634594798088074,0,8
algebra_40,8,0.5013136863708496,0,9
algebra_40,9,0.5918776392936707,0,11
algebra_40,10,0.6173712015151978,0,14
algebra_41,1,0.992238700389862,1,13
algebra_41,2,0.996973991394043,1,15
algebra_41,3,0.995780348777771,1,7
algebra_41,4,0.9854891896247864,1,7
algebra_41,5,0.9869073629379272,1,5
algebra_41,6,0.9901595711708068,1,5
algebra_42,1,0.994364619255066,1,16
algebra_42,2,0.9769370555877686,1,8
algebra_42,3,0.966274619102478,1,6
algebra_42,4,0.943136751651764,1,6
algebra_42,5,0.9145493507385254,1,11
algebra_42,6,0.8318253755569458,1,7
algebra_43,1,0.9992344379425048,1,14
algebra_43,2,0.9985931515693665,1,11
algebra_43,3,0.999361217021942,1,14
algebra_43,4,0.9971463084220886,1,12
algebra_43,5,0.9915156364440918,1,8
algebra_43,6,0.9988508224487304,1,5
algebra_43,7,0.7597344517707825,1,19
algebra_43,8,0.8715616464614868,1,15
algebra_43,9,0.891045868396759,1,14
algebra_43,10,0.9300832748413086,1,6
algebra_44,1,0.9681835770606996,1,13
algebra_44,2,0.9176992177963256,1,12
algebra_44,3,0.7504913210868835,1,9
algebra_44,4,0.8404926061630249,1,11
algebra_44,5,0.7103473544120789,1,12
algebra_44,6,0.7069097757339478,1,6
algebra_44,7,0.5925137400627136,1,8
algebra_45,1,0.9894620776176452,1,6
algebra_45,2,0.9715165495872498,1,7
algebra_45,3,0.9914990067481996,1,7
algebra_45,4,0.958973228931427,1,7
algebra_45,5,0.9629154205322266,1,8
algebra_46,1,0.9844954609870912,1,8
algebra_46,2,0.8999969363212585,1,7
algebra_46,3,0.936895191669464,1,9
algebra_46,4,0.9076315760612488,1,10
algebra_46,5,0.8814712762832642,1,10
algebra_46,6,0.7877316474914551,1,8
algebra_46,7,0.7634434103965759,1,11
algebra_46,8,0.8286927938461304,1,5
algebra_46,9,0.9056035876274108,1,8
algebra_47,1,0.9648095369338988,1,7
algebra_47,2,0.9669663310050964,1,5
algebra_47,3,0.9711407423019408,1,5
algebra_47,4,0.9710049629211426,1,5
algebra_47,5,0.9802833199501038,1,5
algebra_47,6,0.9770374298095704,1,13
algebra_47,7,0.9327808022499084,1,14
algebra_48,1,0.882323145866394,0,10
algebra_48,2,0.983160674571991,0,10
algebra_48,3,0.9869088530540466,0,14
algebra_48,4,0.985817015171051,0,8
algebra_49,1,0.6227707862854004,0,12
algebra_49,2,0.5951295495033264,0,11
algebra_49,3,0.551134467124939,0,10
algebra_49,4,0.4792742431163788,0,6
algebra_49,5,0.6536949276924133,0,9
algebra_49,6,0.5671262741088867,0,5
algebra_49,7,0.5665544271469116,0,5
algebra_49,8,0.55510413646698,0,9
algebra_49,9,0.6008289456367493,0,9
algebra_50,1,0.8019561171531677,1,9
algebra_50,2,0.8099368810653687,1,12
algebra_50,3,0.8725606799125671,1,12
algebra_50,4,0.8541241884231567,1,13
algebra_50,5,0.7995859980583191,1,15
algebra_50,6,0.6561282873153687,1,15
algebra_50,7,0.6216939091682434,1,15
algebra_50,8,0.5920370221138,1,15
algebra_50,9,0.5167574286460876,1,15
algebra_50,10,0.4583865702152252,1,15
algebra_50,11,0.5270921587944031,1,15
algebra_50,12,0.4803101420402527,1,7
algebra_51,1,0.968673288822174,1,15
algebra_51,2,0.8503466248512268,1,16
algebra_51,3,0.8182389140129089,1,11
algebra_51,4,0.8112377524375916,1,11
algebra_51,5,0.8204101324081421,1,12
algebra_52,1,0.8807185292243958,1,8
algebra_52,2,0.7842851281166077,1,7
algebra_52,3,0.8192188739776611,1,8
algebra_52,4,0.913322925567627,1,22
algebra_52,5,0.8489076495170593,1,10
algebra_52,6,0.7969013452529907,1,15
algebra_52,7,0.7637395858764648,1,7
algebra_52,8,0.6923125386238098,1,9
algebra_52,9,0.6509267687797546,1,7
algebra_52,10,0.6808304786682129,1,5
algebra_52,11,0.6194856762886047,1,5
algebra_52,12,0.4485928118228912,1,5
algebra_52,13,0.3973011374473572,1,17
algebra_52,14,0.4112549424171448,1,15
algebra_52,15,0.4034750461578369,1,17
algebra_52,16,0.4879097640514374,1,15
algebra_53,1,0.8817970752716064,0,7
algebra_53,2,0.4951531291007995,0,9
algebra_53,3,0.5638578534126282,0,13
algebra_53,4,0.5778816342353821,0,13
algebra_53,5,0.5551803708076477,0,6
algebra_53,6,0.5494225025177002,0,10
algebra_54,1,0.7447274327278137,0,13
algebra_54,2,0.5955063700675964,0,15
algebra_54,3,0.4964456856250763,0,20
algebra_54,4,0.2786745131015777,0,17
algebra_54,5,0.3571391701698303,0,7
algebra_54,6,0.3625926375389099,0,10
algebra_54,7,0.3666778802871704,0,10
algebra_54,8,0.4194338321685791,0,10
algebra_54,9,0.418432354927063,0,11
algebra_54,10,0.420660525560379,0,15
algebra_54,11,0.2486760020256042,0,11
algebra_54,12,0.1452408134937286,0,11
algebra_55,1,0.9693781733512878,1,10
algebra_55,2,0.9040456414222716,1,5
algebra_55,3,0.8818464279174805,1,8
algebra_55,4,0.4694575369358063,1,7
algebra_55,5,0.4336422681808471,1,12
algebra_55,6,0.4453966617584228,1,7
algebra_56,1,0.9627218842506408,0,18
algebra_56,2,0.952076494693756,0,12
algebra_56,3,0.8742470145225525,0,7
algebra_56,4,0.864404559135437,0,7
algebra_56,5,0.7440019249916077,0,12
algebra_56,6,0.6845091581344604,0,11
algebra_56,7,0.7364861369132996,0,14
algebra_57,1,0.9257056713104248,1,18
algebra_57,2,0.9151665568351746,1,13
algebra_57,3,0.8825923800468445,1,16
algebra_57,4,0.8668156862258911,1,12
algebra_57,5,0.7103646397590637,1,16
algebra_57,6,0.7102881073951721,1,25
algebra_57,7,0.7453343272209167,1,12
algebra_57,8,0.7959550023078918,1,8
algebra_58,1,0.979052484035492,1,14
algebra_58,2,0.9663514494895936,1,12
algebra_58,3,0.9724472165107728,1,7
algebra_58,4,0.871446430683136,1,6
algebra_58,5,0.7228022217750549,1,8
algebra_59,1,0.9873746633529664,1,7
algebra_59,2,0.9889020919799804,1,5
algebra_59,3,0.9791572093963624,1,5
algebra_59,4,0.9206767678260804,1,5
algebra_59,5,0.8631031513214111,1,5
algebra_59,6,0.9135258197784424,1,7
algebra_59,7,0.8264077305793762,1,12
algebra_59,8,0.7120261192321777,1,8
algebra_59,9,0.7618770599365234,1,5
algebra_60,1,0.9863504767417908,1,14
algebra_60,2,0.9823532104492188,1,24
algebra_60,3,0.978272020816803,1,12
algebra_60,4,0.9717215895652772,1,9
algebra_60,5,0.9824920892715454,1,29
algebra_61,1,0.961564838886261,0,9
algebra_61,2,0.9439225792884828,0,11
algebra_61,3,0.9411765933036804,0,13
algebra_61,4,0.8622873425483704,0,23
algebra_61,5,0.7959968447685242,0,27
algebra_61,6,0.7797685861587524,0,9
algebra_61,7,0.7682676315307617,0,10
algebra_62,1,0.9236972332000732,1,6
algebra_62,2,0.942672610282898,1,14
algebra_62,3,0.8638875484466553,1,13
algebra_62,4,0.8951649069786072,1,10
algebra_62,5,0.9029918909072876,1,9
algebra_62,6,0.8832914233207703,1,12
algebra_62,7,0.8861225843429565,1,18
algebra_62,8,0.8857485055923462,1,14
algebra_63,1,0.9736590385437012,1,17
algebra_63,2,0.9621455073356628,1,12
algebra_63,3,0.9667254090309144,1,18
algebra_63,4,0.9675214290618896,1,5
algebra_63,5,0.9140819907188416,1,7
algebra_63,6,0.6977638006210327,1,9
algebra_63,7,0.584270715713501,1,9
algebra_63,8,0.5724940896034241,1,13
algebra_63,9,0.5348891615867615,1,11
algebra_64,1,0.991928219795227,1,9
algebra_64,2,0.9611164331436156,1,11
algebra_64,3,0.947411835193634,1,6
algebra_64,4,0.9388379454612732,1,7
algebra_64,5,0.9549341797828674,1,7
algebra_64,6,0.9494061470031738,1,7
algebra_64,7,0.939358651638031,1,7
algebra_65,1,0.9929171800613404,1,13
algebra_65,2,0.9816502928733826,1,18
algebra_65,3,0.9681701064109802,1,11
algebra_65,4,0.9776835441589355,1,10
algebra_65,5,0.9778282046318054,1,14
algebra_65,6,0.9121975898742676,1,11
algebra_65,7,0.8773781657218933,1,12
algebra_65,8,0.8470693230628967,1,10
algebra_65,9,0.8047124147415161,1,14
algebra_66,1,0.9194079041481018,0,18
algebra_66,2,0.8337995409965515,0,12
algebra_66,3,0.7060911059379578,0,9
algebra_66,4,0.6943957805633545,0,13
algebra_66,5,0.7582013010978699,0,11
algebra_66,6,0.693162739276886,0,5
algebra_66,7,0.318604826927185,0,9
algebra_66,8,0.3092542588710785,0,16
algebra_66,9,0.3792315423488617,0,13
algebra_66,10,0.274273157119751,0,15
algebra_66,11,0.1850728243589401,0,7
algebra_67,1,0.989741325378418,0,12
algebra_67,2,0.9763273000717164,0,8
algebra_67,3,0.9773967266082764,0,13
algebra_67,4,0.9616726636886596,0,8
algebra_67,5,0.7669317722320557,0,13
algebra_67,6,0.5231172442436218,0,7
algebra_68,1,0.6982317566871643,1,11
algebra_68,2,0.5425532460212708,1,20
algebra_68,3,0.5076898336410522,1,18
algebra_68,4,0.484399139881134,1,7
algebra_68,5,0.4842424094676971,1,14
algebra_68,6,0.4792613983154297,1,10
algebra_69,1,0.9729574918746948,1,17
algebra_69,2,0.9845798015594482,1,9
algebra_69,3,0.977756917476654,1,9
algebra_69,4,0.9400600790977478,1,13
algebra_69,5,0.9371848106384276,1,16
algebra_69,6,0.933897078037262,1,8
algebra_69,7,0.9205359816551208,1,3
algebra_69,8,0.9048663973808287,1,11
algebra_69,9,0.9226104617118835,1,7
algebra_70,1,0.9975711703300476,1,13
algebra_70,2,0.9938812255859376,1,7
algebra_70,3,0.9887049794197084,1,11
algebra_70,4,0.9469534754753112,1,7
algebra_70,5,0.9419007897377014,1,15
algebra_71,1,0.7903493046760559,1,14
algebra_71,2,0.7304633855819702,1,23
algebra_71,3,0.7934905886650085,1,11
algebra_71,4,0.7931532263755798,1,7
algebra_71,5,0.8180969953536987,1,12
algebra_71,6,0.6965709924697876,1,12
algebra_71,7,0.7714287638664246,1,10
algebra_71,8,0.8347529172897339,1,8
algebra_71,9,0.8609362244606018,1,14
algebra_72,1,0.9937264919281006,1,12
algebra_72,2,0.9871576428413392,1,15
algebra_72,3,0.9922045469284058,1,12
algebra_72,4,0.9418331384658812,1,17
algebra_72,5,0.9950029253959656,1,12
algebra_73,1,0.9123595952987672,1,11
algebra_73,2,0.8743516206741333,1,9
algebra_73,3,0.7240197062492371,1,6
algebra_73,4,0.6246916055679321,1,7
algebra_73,5,0.5398266911506653,1,6
algebra_73,6,0.5075692534446716,1,5
algebra_73,7,0.480267733335495,1,7
algebra_73,8,0.4542863368988037,1,9
algebra_73,9,0.4168930947780609,1,3
algebra_73,10,0.411645233631134,1,5
algebra_74,1,0.9574810266494752,1,14
algebra_74,2,0.9650457501411438,1,14
algebra_74,3,0.8894588947296143,1,14
algebra_74,4,0.9170991778373718,1,16
algebra_74,5,0.9227626323699952,1,14
algebra_74,6,0.8555654883384705,1,13
algebra_74,7,0.8452441692352295,1,8
algebra_74,8,0.8577992916107178,1,15
algebra_74,9,0.8415521383285522,1,17
algebra_75,1,0.9207528233528136,1,15
algebra_75,2,0.8719230890274048,1,10
algebra_75,3,0.7664793729782104,1,11
algebra_75,4,0.5907492637634277,1,15
algebra_75,5,0.3143686652183532,1,14
algebra_75,6,0.2733042240142822,1,17
algebra_75,7,0.2452449351549148,1,12
algebra_75,8,0.2336544394493103,1,8
algebra_75,9,0.2157893776893615,1,8
algebra_75,10,0.2764867544174194,1,12
algebra_75,11,0.2787745893001556,1,5
algebra_75,12,0.3595354557037353,1,22
algebra_76,1,0.796177327632904,1,13
algebra_76,2,0.7699148654937744,1,13
algebra_76,3,0.7678738832473755,1,9
algebra_76,4,0.6594552993774414,1,9
algebra_76,5,0.224717691540718,1,7
algebra_76,6,0.1996277868747711,1,11
algebra_76,7,0.2081578820943832,1,5
algebra_76,8,0.1931250989437103,1,7
algebra_77,1,0.992000699043274,0,10
algebra_77,2,0.9714725613594056,0,7
algebra_77,3,0.8478454947471619,0,6
algebra_77,4,0.6826187968254089,0,6
algebra_77,5,0.5089954733848572,0,7
algebra_77,6,0.3753419518470764,0,7
algebra_77,7,0.3074018955230713,0,7
algebra_77,8,0.3191425204277038,0,11
algebra_78,1,0.9300028681755066,1,23
algebra_78,2,0.7160658240318298,1,16
algebra_78,3,0.6813823580741882,1,13
algebra_78,4,0.6560731530189514,1,6
algebra_78,5,0.3727499842643738,1,7
algebra_78,6,0.4198198318481445,1,7
algebra_78,7,0.3863713145256042,1,9
algebra_78,8,0.3479879200458526,1,6
algebra_79,1,0.939952313899994,1,13
algebra_79,2,0.4674081802368164,1,10
algebra_79,3,0.5901496410369873,1,16
algebra_79,4,0.7279663681983948,1,13
algebra_79,5,0.8291285634040833,1,10
algebra_79,6,0.8694813847541809,1,13
algebra_79,7,0.7696015238761902,1,10
algebra_79,8,0.837859570980072,1,10
algebra_79,9,0.9038119912147522,1,10
algebra_80,1,0.977702498435974,0,14
algebra_80,2,0.878639280796051,0,14
algebra_80,3,0.7070409655570984,0,10
algebra_80,4,0.3207220137119293,0,20
algebra_80,5,0.4024595618247986,0,13
algebra_80,6,0.3889561593532562,0,7
algebra_80,7,0.3889629542827606,0,5
algebra_80,8,0.4417379200458526,0,7
algebra_80,9,0.3675739467144012,0,5
algebra_81,1,0.6327133178710938,0,16
algebra_81,2,0.4701145887374878,0,7
algebra_81,3,0.4864797294139862,0,13
algebra_81,4,0.428682267665863,0,13
algebra_81,5,0.4701663851737976,0,9
algebra_81,6,0.3970262110233307,0,20
algebra_81,7,0.3857298195362091,0,11
algebra_81,8,0.3318374454975128,0,7
algebra_81,9,0.2792204320430755,0,10
algebra_81,10,0.2283907085657119,0,8
algebra_81,11,0.3016834259033203,0,8
algebra_81,12,0.3122536540031433,0,11
algebra_82,1,0.7541162371635437,0,16
algebra_82,2,0.718161404132843,0,8
algebra_82,3,0.8107591867446899,0,9
algebra_82,4,0.7512851357460022,0,10
algebra_82,5,0.7171441912651062,0,15
algebra_82,6,0.7050303816795349,0,6
algebra_82,7,0.3640340268611908,0,11
algebra_82,8,0.2940716445446014,0,19
algebra_82,9,0.3018293082714081,0,16
algebra_83,1,0.9907259941101074,1,17
algebra_83,2,0.9867772459983826,1,13
algebra_83,3,0.9659680128097534,1,13
algebra_83,4,0.6360975503921509,1,11
algebra_83,5,0.705070436000824,1,16
algebra_84,1,0.9981124401092528,1,14
algebra_84,2,0.9983161687850952,1,9
algebra_84,3,0.99423485994339,1,11
algebra_84,4,0.9943633079528807,1,11
algebra_84,5,0.9774890542030334,1,7
algebra_85,1,0.8860240578651428,1,14
algebra_85,2,0.8425438404083252,1,9
algebra_85,3,0.8053569793701172,1,9
algebra_85,4,0.7418625950813293,1,9
